candidate_id,rank,score,reasoning
CAND_0046064,1,0.8666,Excellent fit displaying 5 required capabilities with 8.9 years of experience and strong recruiter responsiveness (78%).
CAND_0094759,2,0.8612,"Strong technical match (5 capabilities, 8.6 YOE) but penalized for low platform availability (11% response rate)."
CAND_0086022,3,0.8273,Excellent fit displaying 6 required capabilities with 5.3 years of experience and strong recruiter responsiveness (55%).
CAND_0018499,4,0.8217,Excellent fit displaying 6 required capabilities with 7.2 years of experience and strong recruiter responsiveness (61%).
CAND_0055905,5,0.8061,Excellent fit displaying 6 required capabilities with 8.1 years of experience and strong recruiter responsiveness (87%).
CAND_0046525,6,0.7981,Excellent fit displaying 5 required capabilities with 6.1 years of experience and strong recruiter responsiveness (88%).
CAND_0071974,7,0.73,Excellent fit displaying 6 required capabilities with 7.8 years of experience and strong recruiter responsiveness (76%).
CAND_0005649,8,0.7233,Excellent fit displaying 6 required capabilities with 7.4 years of experience and strong recruiter responsiveness (57%).
CAND_0058575,9,0.7203,Excellent fit displaying 6 required capabilities with 5.8 years of experience and strong recruiter responsiveness (69%).
CAND_0079387,10,0.72,Excellent fit displaying 6 required capabilities with 6.9 years of experience and strong recruiter responsiveness (81%).
CAND_0041669,11,0.72,Excellent fit displaying 6 required capabilities with 8.0 years of experience and strong recruiter responsiveness (77%).
CAND_0028793,12,0.7146,Excellent fit displaying 6 required capabilities with 7.2 years of experience and strong recruiter responsiveness (57%).
CAND_0044883,13,0.7104,Excellent fit displaying 6 required capabilities with 6.3 years of experience and strong recruiter responsiveness (84%).
CAND_0005260,14,0.7102,Excellent fit displaying 5 required capabilities with 5.2 years of experience and strong recruiter responsiveness (86%).
CAND_0044855,15,0.6958,Excellent fit displaying 6 required capabilities with 6.6 years of experience and strong recruiter responsiveness (57%).
CAND_0053695,16,0.6939,Excellent fit displaying 6 required capabilities with 5.8 years of experience and strong recruiter responsiveness (60%).
CAND_0018722,17,0.6907,Excellent fit displaying 5 required capabilities with 6.6 years of experience and strong recruiter responsiveness (79%).
CAND_0098846,18,0.688,Excellent fit displaying 6 required capabilities with 7.6 years of experience and strong recruiter responsiveness (62%).
CAND_0030953,19,0.6825,Excellent fit displaying 6 required capabilities with 7.8 years of experience and strong recruiter responsiveness (63%).
CAND_0041568,20,0.675,Excellent fit displaying 5 required capabilities with 5.2 years of experience and strong recruiter responsiveness (52%).
CAND_0001610,21,0.6721,Excellent fit displaying 6 required capabilities with 3.0 years of experience and strong recruiter responsiveness (57%).
CAND_0079064,22,0.672,Excellent fit displaying 5 required capabilities with 5.2 years of experience and strong recruiter responsiveness (91%).
CAND_0060054,23,0.668,Excellent fit displaying 5 required capabilities with 6.4 years of experience and strong recruiter responsiveness (86%).
CAND_0018549,24,0.6658,Excellent fit displaying 5 required capabilities with 6.8 years of experience and strong recruiter responsiveness (73%).
CAND_0017960,25,0.6649,Excellent fit displaying 6 required capabilities with 7.7 years of experience and strong recruiter responsiveness (72%).
CAND_0053591,26,0.6647,Excellent fit displaying 5 required capabilities with 5.3 years of experience and strong recruiter responsiveness (81%).
CAND_0050876,27,0.6609,Excellent fit displaying 6 required capabilities with 6.0 years of experience and strong recruiter responsiveness (67%).
CAND_0057563,28,0.6575,Excellent fit displaying 5 required capabilities with 6.8 years of experience and strong recruiter responsiveness (83%).
CAND_0068811,29,0.6551,Excellent fit displaying 6 required capabilities with 8.0 years of experience and strong recruiter responsiveness (42%).
CAND_0083307,30,0.6548,Excellent fit displaying 6 required capabilities with 7.8 years of experience and strong recruiter responsiveness (70%).
CAND_0062247,31,0.6526,Excellent fit displaying 5 required capabilities with 7.3 years of experience and strong recruiter responsiveness (78%).
CAND_0011687,32,0.6516,Excellent fit displaying 5 required capabilities with 7.8 years of experience and strong recruiter responsiveness (89%).
CAND_0020877,33,0.6513,Excellent fit displaying 6 required capabilities with 5.1 years of experience and strong recruiter responsiveness (66%).
CAND_0052328,34,0.6488,Excellent fit displaying 6 required capabilities with 6.5 years of experience and strong recruiter responsiveness (79%).
CAND_0061655,35,0.6465,Excellent fit displaying 6 required capabilities with 4.6 years of experience and strong recruiter responsiveness (88%).
CAND_0051292,36,0.646,Excellent fit displaying 6 required capabilities with 5.2 years of experience and strong recruiter responsiveness (52%).
CAND_0064326,37,0.6429,Excellent fit displaying 5 required capabilities with 7.6 years of experience and strong recruiter responsiveness (94%).
CAND_0052335,38,0.6409,Excellent fit displaying 5 required capabilities with 6.4 years of experience and strong recruiter responsiveness (79%).
CAND_0020708,39,0.6404,Excellent fit displaying 6 required capabilities with 4.2 years of experience and strong recruiter responsiveness (84%).
CAND_0037000,40,0.6392,Excellent fit displaying 6 required capabilities with 2.7 years of experience and strong recruiter responsiveness (61%).
CAND_0093912,41,0.6368,Excellent fit displaying 5 required capabilities with 5.3 years of experience and strong recruiter responsiveness (66%).
CAND_0047721,42,0.6362,Excellent fit displaying 6 required capabilities with 7.0 years of experience and strong recruiter responsiveness (49%).
CAND_0066999,43,0.635,Excellent fit displaying 6 required capabilities with 5.9 years of experience and strong recruiter responsiveness (63%).
CAND_0033861,44,0.633,"Strong technical match (7 capabilities, 8.0 YOE) but penalized for low platform availability (16% response rate)."
CAND_0077285,45,0.6325,Excellent fit displaying 6 required capabilities with 5.5 years of experience and strong recruiter responsiveness (56%).
CAND_0093547,46,0.631,Excellent fit displaying 5 required capabilities with 2.9 years of experience and strong recruiter responsiveness (75%).
CAND_0069905,47,0.6295,Excellent fit displaying 6 required capabilities with 6.6 years of experience and strong recruiter responsiveness (78%).
CAND_0042029,48,0.6288,Excellent fit displaying 5 required capabilities with 6.5 years of experience and strong recruiter responsiveness (67%).
CAND_0075439,49,0.6286,Excellent fit displaying 6 required capabilities with 4.3 years of experience and strong recruiter responsiveness (56%).
CAND_0040887,50,0.6283,Excellent fit displaying 6 required capabilities with 4.7 years of experience and strong recruiter responsiveness (84%).
CAND_0041610,51,0.6273,Excellent fit displaying 6 required capabilities with 6.7 years of experience and strong recruiter responsiveness (52%).
CAND_0029367,52,0.627,Excellent fit displaying 6 required capabilities with 5.7 years of experience and strong recruiter responsiveness (77%).
CAND_0026532,53,0.6246,Excellent fit displaying 6 required capabilities with 4.8 years of experience and strong recruiter responsiveness (52%).
CAND_0054123,54,0.6215,Excellent fit displaying 5 required capabilities with 4.7 years of experience and strong recruiter responsiveness (87%).
CAND_0078492,55,0.621,Excellent fit displaying 6 required capabilities with 5.1 years of experience and strong recruiter responsiveness (70%).
CAND_0013613,56,0.6208,Excellent fit displaying 6 required capabilities with 4.7 years of experience and strong recruiter responsiveness (73%).
CAND_0064904,57,0.6206,Excellent fit displaying 6 required capabilities with 4.9 years of experience and strong recruiter responsiveness (78%).
CAND_0007412,58,0.6201,Excellent fit displaying 6 required capabilities with 7.4 years of experience and strong recruiter responsiveness (76%).
CAND_0054394,59,0.6192,Excellent fit displaying 6 required capabilities with 4.1 years of experience and strong recruiter responsiveness (64%).
CAND_0044222,60,0.6177,Excellent fit displaying 5 required capabilities with 7.7 years of experience and strong recruiter responsiveness (60%).
CAND_0036863,61,0.6174,Excellent fit displaying 5 required capabilities with 4.3 years of experience and strong recruiter responsiveness (46%).
CAND_0065878,62,0.6166,Excellent fit displaying 6 required capabilities with 7.8 years of experience and strong recruiter responsiveness (48%).
CAND_0036184,63,0.6156,Excellent fit displaying 6 required capabilities with 6.0 years of experience and strong recruiter responsiveness (90%).
CAND_0031593,64,0.6144,Excellent fit displaying 6 required capabilities with 7.8 years of experience and strong recruiter responsiveness (58%).
CAND_0096142,65,0.6139,Excellent fit displaying 6 required capabilities with 5.0 years of experience and strong recruiter responsiveness (84%).
CAND_0096172,66,0.613,Excellent fit displaying 5 required capabilities with 5.2 years of experience and strong recruiter responsiveness (47%).
CAND_0007411,67,0.613,"Strong technical match (5 capabilities, 8.0 YOE) but penalized for low platform availability (12% response rate)."
CAND_0010685,68,0.6127,Excellent fit displaying 6 required capabilities with 6.7 years of experience and strong recruiter responsiveness (83%).
CAND_0075574,69,0.6123,Excellent fit displaying 5 required capabilities with 5.7 years of experience and strong recruiter responsiveness (58%).
CAND_0086151,70,0.6114,Excellent fit displaying 6 required capabilities with 7.7 years of experience and strong recruiter responsiveness (52%).
CAND_0081686,71,0.6103,Excellent fit displaying 6 required capabilities with 6.0 years of experience and strong recruiter responsiveness (91%).
CAND_0052682,72,0.6094,Excellent fit displaying 5 required capabilities with 6.6 years of experience and strong recruiter responsiveness (88%).
CAND_0084819,73,0.6089,Excellent fit displaying 6 required capabilities with 4.5 years of experience and strong recruiter responsiveness (74%).
CAND_0081852,74,0.6087,Excellent fit displaying 6 required capabilities with 5.9 years of experience and strong recruiter responsiveness (44%).
CAND_0027801,75,0.6071,Excellent fit displaying 6 required capabilities with 7.4 years of experience and strong recruiter responsiveness (65%).
CAND_0030031,76,0.6068,Excellent fit displaying 6 required capabilities with 5.7 years of experience and strong recruiter responsiveness (94%).
CAND_0037944,77,0.6062,Excellent fit displaying 5 required capabilities with 4.9 years of experience and strong recruiter responsiveness (42%).
CAND_0070485,78,0.606,Excellent fit displaying 6 required capabilities with 6.4 years of experience and strong recruiter responsiveness (45%).
CAND_0027691,79,0.6042,Excellent fit displaying 6 required capabilities with 6.5 years of experience and strong recruiter responsiveness (68%).
CAND_0061265,80,0.6019,Excellent fit displaying 6 required capabilities with 6.6 years of experience and strong recruiter responsiveness (94%).
CAND_0061339,81,0.5999,Excellent fit displaying 6 required capabilities with 4.2 years of experience and strong recruiter responsiveness (90%).
CAND_0078002,82,0.5975,Excellent fit displaying 6 required capabilities with 6.3 years of experience and strong recruiter responsiveness (86%).
CAND_0009691,83,0.5965,Excellent fit displaying 6 required capabilities with 6.2 years of experience and strong recruiter responsiveness (64%).
CAND_0039838,84,0.5964,Excellent fit displaying 7 required capabilities with 4.9 years of experience and strong recruiter responsiveness (80%).
CAND_0081053,85,0.5961,Excellent fit displaying 6 required capabilities with 5.4 years of experience and strong recruiter responsiveness (83%).
CAND_0065195,86,0.5961,Excellent fit displaying 6 required capabilities with 5.1 years of experience and strong recruiter responsiveness (80%).
CAND_0014440,87,0.5957,Excellent fit displaying 6 required capabilities with 6.4 years of experience and strong recruiter responsiveness (64%).
CAND_0058688,88,0.5934,Excellent fit displaying 6 required capabilities with 6.7 years of experience and strong recruiter responsiveness (74%).
CAND_0030827,89,0.5932,Excellent fit displaying 5 required capabilities with 5.4 years of experience and strong recruiter responsiveness (52%).
CAND_0030348,90,0.5921,Excellent fit displaying 6 required capabilities with 4.5 years of experience and strong recruiter responsiveness (54%).
CAND_0039383,91,0.5899,Excellent fit displaying 6 required capabilities with 7.1 years of experience and strong recruiter responsiveness (61%).
CAND_0035879,92,0.5868,Excellent fit displaying 6 required capabilities with 4.5 years of experience and strong recruiter responsiveness (82%).
CAND_0091909,93,0.5851,Excellent fit displaying 6 required capabilities with 6.9 years of experience and strong recruiter responsiveness (65%).
CAND_0074887,94,0.5837,"Strong technical match (6 capabilities, 4.7 YOE) but penalized for low platform availability (23% response rate)."
CAND_0003977,95,0.5836,Excellent fit displaying 5 required capabilities with 4.6 years of experience and strong recruiter responsiveness (55%).
CAND_0040117,96,0.5809,Excellent fit displaying 5 required capabilities with 6.5 years of experience and strong recruiter responsiveness (66%).
CAND_0043228,97,0.5798,Excellent fit displaying 5 required capabilities with 6.8 years of experience and strong recruiter responsiveness (41%).
CAND_0060072,98,0.5782,"Strong technical match (6 capabilities, 5.7 YOE) but penalized for low platform availability (10% response rate)."
CAND_0049896,99,0.5776,Excellent fit displaying 6 required capabilities with 7.3 years of experience and strong recruiter responsiveness (43%).
CAND_0019480,100,0.5773,Excellent fit displaying 5 required capabilities with 2.8 years of experience and strong recruiter responsiveness (87%).
